-----------
-----------

========================================================================================================================
File Design Information:

Date:       -----------
Time:       -----------
Revision:   -----------
Variant:    -----------
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP19","TP26","TopLayer","TP26","2337.500","1102.000","90","Test Point, On-Board, 26AWG"
"TP9","TP26","TopLayer","TP26","1350.000","414.500","90","Test Point, On-Board, 26AWG"
"TP15","TP26","TopLayer","TP26","2200.000","1102.000","90","Test Point, On-Board, 26AWG"
"TP12","TP26","TopLayer","TP26","1100.000","452.000","90","Test Point, On-Board, 26AWG"
"U1","HS-139","TopLayer","CDFP3-F14","912.500","1589.500","360","HS-139, CDFP3-F14"
"U2","IS-1009","TopLayer","3L_TO206AB","787.500","1250.000","180","IS-1009, TO-206AB"
"U7","IS-1825","BottomLayer","CDFP4-F20","2087.500","2777.000","360","IS-1825, CDFP4-F20"
"U5","ISL7124","TopLayer","CDFP3-F14","2112.500","1439.500","270","ISL7124, CDFP3-F14"
"U6","IS-1009","TopLayer","3L_TO206AB","2565.000","1452.000","90","IS-1009, TO-206AB"
"U4","IS-1009","TopLayer","3L_TO206AB","2290.000","952.000","90","IS-1009, TO-206AB"
"TP10","TP26","TopLayer","TP26","2387.500","1602.000","90","Test Point, On-Board, 26AWG"
"TP23","TP26","TopLayer","TP26","2387.500","1502.000","90","Test Point, On-Board, 26AWG"
"TP26","TP26","TopLayer","TP26","1450.000","1752.000","90","Test Point, On-Board, 26AWG"
"TP27","TP26","TopLayer","TP26","1837.500","2477.000","90","Test Point, On-Board, 26AWG"
"TP30","TP26","TopLayer","TP26","2387.500","1802.000","90","Test Point, On-Board, 26AWG"
"TP32","TP26","TopLayer","TP26","2537.500","614.500","90","Test Point, On-Board, 26AWG"
"TP33","TP26","TopLayer","TP26","2905.000","650.000","90","Test Point, On-Board, 26AWG"
"TP34","TP26","TopLayer","TP26","3412.500","1527.000","90","Test Point, On-Board, 26AWG"
"TP35","TP26","TopLayer","TP26","3062.500","537.500","90","Test Point, On-Board, 26AWG"
"TP36","TP26","TopLayer","TP26","3587.500","2852.000","90","Test Point, On-Board, 26AWG"
"TP37","TP26","TopLayer","TP26","2575.000","4202.000","90","Test Point, On-Board, 26AWG"
"R9","RM0705K","BottomLayer","RM0705","637.500","852.000","90","RM0705K, Value, Tolerance"
"D18","1N6642US","BottomLayer","1N6642US","1856.500","1421.000","270","1N6642US, SMD"
